region_code,region_name,city_code,city_name,street_code,street_name,street_name_status,official_code
31,חיפה,4000,חיפה,9789,"רא""ל מקלף מרדכי",synonym of 192,192
31,חיפה,4000,חיפה,193,תובל,official,193
31,חיפה,4000,חיפה,194,יוליוס סימון,official,194
31,חיפה,4000,חיפה,9790,סימון יוליוס,synonym of 194,194
31,חיפה,4000,חיפה,195,שד ההסתדרות,official,195
31,חיפה,4000,חיפה,9791,דרך עכו,synonym of 195,195
31,חיפה,4000,חיפה,9792,ההסתדרות שדרות,synonym of 195,195
31,חיפה,4000,חיפה,9793,הסתדרות,synonym of 195,195
31,חיפה,4000,חיפה,9794,שדרות הסתדרות,synonym of 195,195
31,חיפה,4000,חיפה,9795,הסתדרות שדרות,synonym of 195,195
31,חיפה,4000,חיפה,9796,שד הסתדרות,synonym of 195,195
31,חיפה,4000,חיפה,9797,שדרות ההסתדרות,synonym of 195,195
31,חיפה,4000,חיפה,9798,ההסתדרות שד,synonym of 195,195
31,חיפה,4000,חיפה,9799,ההסתדרות,synonym of 195,195
31,חיפה,4000,חיפה,9800,הסתדרות שד,synonym of 195,195
31,חיפה,4000,חיפה,196,הקורנס,official,196
31,חיפה,4000,חיפה,9801,רח 627,synonym of 196,196
31,חיפה,4000,חיפה,197,בעלי מלאכה,official,197
31,חיפה,4000,חיפה,198,אופיר,official,198
31,חיפה,4000,חיפה,9802,אפיר,synonym of 198,198
31,חיפה,4000,חיפה,9803,אופר,synonym of 198,198
31,חיפה,4000,חיפה,199,שנקר אריה,official,199
31,חיפה,4000,חיפה,9804,אריה שנקר,synonym of 199,199
31,חיפה,4000,חיפה,9805,שנקר,synonym of 199,199
31,חיפה,4000,חיפה,200,הסנונית,official,200
31,חיפה,4000,חיפה,201,השקד,official,201
31,חיפה,4000,חיפה,9806,רח יג ק חיים,synonym of 201,201
31,חיפה,4000,חיפה,9807,רח יג,synonym of 201,201
31,חיפה,4000,חיפה,202,הבניה,official,202
31,חיפה,4000,חיפה,203,החרש,official,203
31,חיפה,4000,חיפה,204,היצירה,official,204
31,חיפה,4000,חיפה,205,המסגר,official,205
31,חיפה,4000,חיפה,206,העבודה,official,206
31,חיפה,4000,חיפה,207,השיש,official,207
31,חיפה,4000,חיפה,208,חכמי ישראל,official,208
31,חיפה,4000,חיפה,209,חירם,official,209
31,חיפה,4000,חיפה,210,חלוצי התעשיה,official,210
31,חיפה,4000,חיפה,211,חלץ,official,211
31,חיפה,4000,חיפה,212,החרושת,official,212
31,חיפה,4000,חיפה,9808,חרושת,synonym of 212,212
31,חיפה,4000,חיפה,213,טובים,official,213
31,חיפה,4000,חיפה,214,מעון אקדמאים,official,214
31,חיפה,4000,חיפה,9809,מעון אקד ק ח,synonym of 214,214
31,חיפה,4000,חיפה,9810,מעון אקדמאי,synonym of 214,214
31,חיפה,4000,חיפה,9811,מעון ק חיים,synonym of 214,214
31,חיפה,4000,חיפה,9812,מעון אקדמאים ק חיים,synonym of 214,214
31,חיפה,4000,חיפה,9813,ק חיים מעון אקדמאים,synonym of 214,214
31,חיפה,4000,חיפה,215,"אח""י אילת",official,215
31,חיפה,4000,חיפה,9814,כב ראשי ק ח,synonym of 215,215
31,חיפה,4000,חיפה,9815,אחי אילת,synonym of 215,215
31,חיפה,4000,חיפה,216,משטרת קרית חיים,official,216
31,חיפה,4000,חיפה,9816,ק ח מול משט,synonym of 216,216
31,חיפה,4000,חיפה,9817,ק חיים,synonym of 216,216
31,חיפה,4000,חיפה,9818,ב המשטרה ק ח,synonym of 216,216
31,חיפה,4000,חיפה,9819,משטרת ק חיים,synonym of 216,216
